gov_id,gov_title_zh,gov_title_en,imdb_id,atmovies_id,omdb_title_en,Year,Runtime,Genre,Language,Country,Director,Writer,Actors,Plot,Awards,Poster,imdbRating,imdbVotes,Metascore,source,fetched_at
31835,沒好婚姻,The Roses,tt31973693,fren31973693,The Roses,2025,105 min,Comedy,English,"United Kingdom, Australia, United States",Jay Roach,"Warren Adler, Tony McNamara","Olivia Colman, Benedict Cumberbatch, Kate McKinnon",A tinderbox of competition and resentments underneath the façade of a picture-perfect couple is ignited when the husband's professional dreams come crashing down.,N/A,https://m.media-amazon.com/images/M/MV5BYzliNTEyYjEtNGE3Mi00ZDIzLTg1NzYtZDBhNTQ5ZDVkMmM3XkEyXkFqcGc@._V1_SX300.jpg,7.0,"12,365",58,omdb,2025-10-13 18:36:10
31836,8號出口,Exit 8,tt5889974,fejp35222590,Exit 8,2016,23 min,"Short, Thriller",English,USA,Franklin Jones,Franklin Jones,"Travis Bailey, Samantha Elkins, Hannah Lees, Evan Simmons","A young woman flees through the summer night with child in tow, desperate to escape her past. As dawn approaches, all that stands between them and a new life are the mysteries lying ahead.",N/A,https://m.media-amazon.com/images/M/MV5BMDI0MzE1NmUtNWU3ZC00ZDQ3LWI1MWMtMDM1MGZhYjRjOTlhXkEyXkFqcGdeQXVyNjc2NDY0Mzk@._V1_SX300.jpg,4.2,5,N/A,omdb,2025-10-13 18:36:12
31842,蓋比的娃娃屋大電影,GABBY'S DOLLHOUSE: THE MOVIE,tt32214143,fgen32214143,Gabby's Dollhouse: The Movie,2025,98 min,"Animation, Adventure, Comedy",English,"Canada, United States",Ryan Crego,"Traci Paige Johnson, Jennifer Twomey, Ryan Crego","Laila Lockhart Kraner, Kristen Wiig, Carla Tassara",Gabby and Grandma Gigi's road trip takes an unexpected turn when Gabby's prized dollhouse ends up with eccentric cat lady Vera. Gabby embarks on a adventure to reunite the Gabby Cats and retrieve her beloved dollhouse before it's ...,N/A,https://m.media-amazon.com/images/M/MV5BMmUwNTg3ODMtZGQxZi00Y2VmLWJhMTEtZTc5ZGM1Nzc5MDViXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,omdb,2025-10-13 18:36:14
31863,他年她日,MEASURE IN LOVE,tt33830021,fmcn47188718,Ta Nian Ta Ri,2025,N/A,"Fantasy, Romance",Mandarin,"Taiwan, Hong Kong",Siu-Ping Kung,N/A,"Greg Han Hsu, Angela Yuen, Jack Tan",Greg Han Hsu and Angela Yuen compose a fantasy love story that transcends time zones and is intertwined with fate.,N/A,https://m.media-amazon.com/images/M/MV5BMWZlZDk5Y2YtYWI1NS00MGY3LWJhOTQtN2RiYTE2MDhkNjg4XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,omdb,2025-10-13 18:36:16
31900,一百公尺。,100 METERS,tt5089786,fmjp32600395,100 Meters,2016,108 min,"Biography, Comedy, Drama",Spanish,"Spain, Portugal",Marcel Barrena,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez","Based on true events, a Spanish man with multiple sclerosis who tried to finish an Iron-Man competition despite he was told that he could not make 100 meters.",6 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BYWNjNDhmNGUtM2E5Ni00YTE0LTlkNTQtZWI2MWJhMTU3Y2NkXkEyXkFqcGc@._V1_SX300.jpg,7.5,"7,138",N/A,omdb,2025-10-13 18:36:18
31904,陰陽眼見子,THE GIRL WHO SEES,tt4583316,fgjp33829458,The Girl Who Sees Smells,2015,60 min,"Comedy, Drama, Fantasy",Korean,South Korea,N/A,N/A,"Park Yoo-chun, Shin Se-Kyung, Yoon Jin-seo","Detective Tae Ho lost his younger sister to a barcode-murder case and lost his ability to taste, smell, and feel pain. He then meets Oh Cho Rim, the only witness to the murder case who possesses a special sense: she can see smells.",4 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZTg0YjEwOTctYWNiZC00YWI2LThlODEtYzM4YzcyOTRiNThlXkEyXkFqcGc@._V1_SX300.jpg,7.1,"1,618",N/A,omdb,2025-10-13 18:36:20
32087,碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版),Bebefinn Sing-Along Movie: Into the Pinkfong World,tt37510071,fben37510071,Bebefinn Sing-Along Movie: Into the Pinkfong World,2025,65 min,Family,English,N/A,"Byeon Hee-sun, Sujeong Han, Sunyoung Moon","Tom Caltabiano, Zachary D. Foster, Nee Kirschman","Bommie Han, Emerson Brooke Kim, Addyson Tabankin",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTcyYThkMmYtNzY2NS00ZjU0LTk3YzYtOThlNWNmNThiYWZlXkEyXkFqcGc@._V1_SX300.jpg,N/A,11,N/A,omdb,2025-10-13 18:36:25
32099,創：戰神,Tron: Ares,tt6604188,ften36604188,Tron: Ares,2025,119 min,"Action, Adventure, Sci-Fi",English,United States,Joachim Rønning,"Jesse Wigutow, David DiGilio, Steven Lisberger","Evan Peters, Jeff Bridges, Jared Leto","A highly sophisticated Program, Ares, is sent from the digital world into the real world on a dangerous mission.",N/A,https://m.media-amazon.com/images/M/MV5BYzk0NjE4NzYtZjc5Ni00MTkxLTgyY2QtZjliOTA5N2U2YzM1XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,omdb,2025-10-13 16:21:16
32103,狼來了,COYOTES,tt13847924,fcen34581826,Coyotes,2021–,N/A,Drama,French,"Luxembourg, Belgium",N/A,"Christophe Beaujean, Axel du Bus de Warnaffe, Vincent Lavachery","Olivia Castanho, Louka Minnella, Andria Kozica","A scout patrol stumbles upon diamonds during a camp. Torn between give them back, sharing them, or keeping them, each member questions his own morality. Meanwhile, there is a danger for the wasps: those who lost them are willing to do anything to find them.",1 nomination total,https://m.media-amazon.com/images/M/MV5BOTAwZWYxNGUtM2NhZS00OTJjLTkyNDAtYWE1MDk0MTM1Y2MwXkEyXkFqcGc@._V1_SX300.jpg,5.2,382,N/A,omdb,2025-10-13 16:21:17
32111,徵人啟弒,NO Other Choice,tt1527793,fnko41527793,No Other Choice,2025,139 min,"Comedy, Crime, Drama",Korean,South Korea,Park Chan-wook,"Park Chan-wook, Lee Kyoung-mi, Jahye Lee","Lee Byung-hun, Yeom Hye-ran, Son Ye-jin","After being unemployed for several years, a man devises a unique plan to secure a new job: eliminate his competition.",1 nomination total,https://m.media-amazon.com/images/M/MV5BMjg3NzY0N2ItZGFlMy00NzAzLTk2NjItMDk2YTU3ZWU0MDA1XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,omdb,2025-10-13 16:21:19
32112,風林火山,Sons of the Neon Night,no_imdb,fshk44968738,,,,,,,,,,,,,,,,omdb,2025-10-13 16:21:21
